Year,Poverty Rate - Indiana State,Poverty Rate - Metropolitan IN,Poverty Rate - Marion County,Poverty Rate - Marion - Asian,Poverty Rate - Marion - Black,Poverty Rate - Marion - Hispanic,Poverty Rate - Marion - White,Poverty Rate - Marion - Under 18,Poverty Rate - Marion - Ages 18-64,Poverty Rate - Marion - Age 65 and Over,Median Household Income - Indiana State,Median Household Income - Metropolitan IN,Median Household Income - Marion County,Median Household Income - Asian,Median Household Income - Black,Median Household Income - Hispanic,Median Household Income - White,Marion County - Households by Income Level Below ALICE Above Pov.,Marion County - Households by Income Level Below Poverty,Marion County - ALICE Households by Age Under 25,Marion County - ALICE Households by Age 25-44,Marion County - ALICE Households by Age 45-64,Marion County - ALICE Households by Age 65 and Over
2010,13.54609255,,17.32319795,17.77439738,24.43200469,33.50077385,11.92508391,25.72665685,15.40287223,9.008899318,47697, ,43541,50293,31510,30633,50636,,,,,,
2011,14.14893248,,18.33497386,19.51935011,25.43000851,34.50532938,12.55414028,27.48130446,16.27863915,9.089420779,48393, ,43197,50886,31265,30535,50809,,,,,,
2012,14.74530273,,19.37813542,22.8442089,27.11017539,36.61632449,13.04908291,29.07510829,17.25128036,9.28082007,48374, ,42603,49074,30862,30125,50731,,,,,,
2013,15.35311997,14.38354955,20.4222397,24.51384182,28.67556447,39.1720496,13.468995,30.70260081,18.22905556,9.53714607,48248,52147,42334,50331,30576,28968,50706,,,,,,
2014,15.51085132,14.64868954,21.01411111,23.81068197,28.99867382,40.15535098,13.91602907,31.42968091,18.8723968,9.672326946,48737,52434,42378,47219,30740,27908,51094,,,,,,
2015,15.35884328,14.40384192,21.09117729,20.13932584,29.5148226,38.88863816,13.94488819,31.84152409,18.76419723,10.27163396,49255,52842,42168,47899,30508,29004,51067,,,,,,
2016,14.98990597,14.17600155,20.54037481,21.85108418,28.68738507,37.5534135,13.53381012,30.9465064,18.26276241,10.34482759,50433,54261,43369,44776,31252,29891,52196,,,,,,
2017,14.55839201,13.74737124,19.79761191,21.45400593,27.77179252,34.09025305,13.14874775,29.6392442,17.71939097,10.15468522,52182,56528,44869,44508,32018,33065,53998,,,,,,
2018,14.1142855,13.1961643,18.95115266,23.18273816,26.24071728,32.3866866,12.60679006,28.53246355,16.94472167,9.731347642,54325,59232,46692,46020,33182,36027,56353,,,,,,
2019,13.43358216,12.39367223,17.79538349,18.31410256,24.97642649,28.79516839,12.08128481,26.49055946,15.88953426,10.08262123,56303,61552,48316,52568,34686,37730,58269,,,,,,
2020,12.91122171,11.54644846,16.41966859,17.63817757,24.60014887,22.94663248,11.07323707,23.79580163,14.88073903,9.624241381,58235,63545,51219,54671,35961,42396,61598,,,,,,
2021,12.5021352,11.06640104,15.91361822,14.95446824,23.97399844,21.31760173,10.87546648,22.40193924,14.46419789,10.37999323,61944,67330,54601,62848,38242,46867,65451,113359,51043,8401,42252,29551,33155
